Sender,Receiver
Inler,Alle
Gavranovic,Drmic
Gavranovic,Seferovic
Lang,Sommer
Lang,Schär
Lang,Seferovic
Lang,Barnetta
Lang,Drmic
Bürki,Lang
Schär,Stocker
Sommer,Stocker
Stocker,Benaglio
Stocker,Barnetta
Stocker,Schär
Stocker,Sommer
Stocker,Lang
Shaqiri,Mehmedi
Benaglio,Lichtsteiner
Djourou,Alle
Xhaka,Rodriguez
Fernandes,Alle
Lichtsteiner,Benaglio
Rodriguez,Xhaka
Drmic,Alle
Barnetta,Alle
Ziegler,Alle
Dzemaili,Mehmedi
Dzemaili,Shaqiri
Dzemaili,Behrami
Seferovic,Alle
Mehmedi,Shaqiri
Senderos,Ziegler
Senderos,Behrami
Behrami,Senderos
