Player,Team
Gavranovic,FC Zürich
Lang,GC
Bürki,GC
Bürki,FC Schaffhausen
Gavranovic,1. FSV Mainz 05
Lang,FC St. Gallen
Schär,FC Wil
Schär,FC Basel
Sommer,GC
Sommer,Borussia Mönchengladbach
Stocker,FC Basel
Stocker,Hertha BSC
Shaqiri,FC Basel
Shaqiri,FC Bayern München
Benaglio,VfL Wolfsburg
Xhaka,FC Basel
Xhaka,Borussia Mönchengladbach
Lichtsteiner,Lazio Rom
Lichtsteiner,Juventus Turin
Rodriguez,FC Zürich
Rodriguez,Sporting Lissabon
Rodriguez,VfL Wolfsburg
Dzemaili,FC Parma
Dzemaili,SSC Neapel
Mehmedi,FC Zürich
Mehmedi,Dynamo Kiew
Mehmedi,SC Freiburg
Senderos,FC Everton
Senderos,FC Fulham
Behrami,West Ham United
Behrami,AC Florenz
Behrami,SSC Neapel
Behrami,Hamburger SV
Drmic,FC Zürich
Drmic,1. FC Nürnberg
Drmic,Bayer Leverkusen
Seferovic,AC Florenz
Seferovic,Neuchâtel Xamax
Seferovic,US Lecce
Seferovic,Novara Calcio
Seferovic,Real Sociedad
Seferovic,Eintracht Frankfurt
Barnetta,Bayer 04 Leverkusen
Barnetta,FC Schalke 04
Ziegler,Sampdoria Genua
Ziegler,Juventus Turin
Ziegler,Fenerbahce Istanbul
Ziegler,Lokomotive Moskau
Ziegler,US Sassuolo Calcio
