"studentID";"friend.ID.code";"best.friend";"go.out.friend";"school.friend";"free.time.friend";"class.friend"
1067;1061;"Yes";"No";"No";"No";"14gE"
1615;1061;"Yes";"No";"Yes";"No";"14gE"
1486;1061;"Yes";"No";"No";"No";"14gE"
2022;1061;"Yes";"No";"Yes";"No";"14gE"
1828;1063;"Yes";"Yes";"No";"No";"15gE"
2026;1063;"Yes";"Yes";"No";"No";"15gE"
1113;1063;"Yes";"No";"No";"Yes";"15gE"
2103;1065;"Yes";"No";"Yes";"No";"14gD"
2109;1065;"Yes";"No";"Yes";"No";"14gD"
1111;1065;"Yes";"Yes";"Yes";"No";"14gD"
1103;1065;"Yes";"No";"No";"No";"14gD"
1061;1067;"Yes";"Yes";"Yes";"Yes";"14gE"
2683;1067;"Yes";"No";"No";"Yes";"14gE"
1982;1067;"Yes";"No";"Yes";"No";"14gE"
2022;1067;"Yes";"No";"Yes";"No";"14gE"
2028;1067;"Yes";"Yes";"No";"Yes";"14gE"
2107;1069;"Yes";"No";"Yes";"Yes";"14gD"
1627;1069;"Yes";"No";"Yes";"No";"14gD"
1605;1073;"Yes";"No";"Yes";"No";"14gF"
1079;1073;"Yes";"No";"No";"No";"14gF"
1065;1073;"Yes";"Yes";"Yes";"No";"14gF"
1073;1079;"Yes";"Yes";"No";"No";"14gF"
1605;1079;"Yes";"No";"Yes";"No";"14gF"
1599;1079;"Yes";"No";"Yes";"No";"14gF"
1591;1087;"Yes";"No";"No";"Yes";"14gC"
1801;1087;"Yes";"No";"No";"No";"14gC"
1133;1087;"Yes";"No";"Yes";"No";"14gC"
1607;1087;"Yes";"No";"Yes";"No";"14gC"
1826;1087;"Yes";"No";"Yes";"Yes";"14gC"
1418;1087;"Yes";"No";"Yes";"No";"14gC"
1406;1087;"Yes";"No";"Yes";"No";"14gC"
1436;1089;"Yes";"Yes";"Yes";"Yes";"14gG"
1713;1089;"Yes";"No";"No";"No";"14gG"
1113;1089;"Yes";"No";"No";"Yes";"14gG"
1894;1095;"Yes";"Yes";"No";"Yes";"15gC"
1783;1095;"Yes";"No";"No";"No";"15gC"
1791;1095;"Yes";"No";"No";"No";"15gC"
1920;1097;"Yes";"No";"No";"No";"14gH"
1087;1097;"Yes";"No";"Yes";"No";"14gH"
1994;1099;"Yes";"No";"No";"No";"14gB"
1117;1099;"Yes";"Yes";"Yes";"Yes";"14gB"
1125;1099;"Yes";"No";"Yes";"Yes";"14gB"
1601;1099;"Yes";"No";"Yes";"Yes";"14gB"
2103;1101;"Yes";"No";"No";"Yes";"14gD"
2028;1101;"Yes";"No";"Yes";"No";"14gD"
1111;1103;"Yes";"Yes";"Yes";"No";"14gD"
1123;1103;"Yes";"No";"No";"No";"14gD"
1065;1103;"Yes";"No";"Yes";"No";"14gD"
2109;1103;"Yes";"No";"Yes";"No";"14gD"
1326;1107;"Yes";"Yes";"No";"Yes";"14wB"
1607;1107;"Yes";"No";"Yes";"No";"14wB"
2178;1109;"Yes";"No";"Yes";"No";"15gC"
1125;1109;"Yes";"Yes";"Yes";"Yes";"15gC"
2200;1109;"Yes";"No";"Yes";"No";"15gC"
1103;1111;"Yes";"No";"No";"No";"14gD"
1123;1111;"Yes";"No";"Yes";"No";"14gD"
2103;1111;"Yes";"No";"Yes";"No";"14gD"
1065;1111;"Yes";"No";"Yes";"No";"14gD"
2109;1111;"Yes";"No";"Yes";"No";"14gD"
1422;1113;"Yes";"No";"No";"No";"14gE"
1828;1113;"Yes";"Yes";"No";"Yes";"14gE"
2026;1113;"Yes";"Yes";"No";"Yes";"14gE"
1063;1113;"Yes";"Yes";"Yes";"Yes";"14gE"
1982;1113;"Yes";"No";"No";"No";"14gE"
1067;1117;"Yes";"No";"Yes";"No";"14gA"
1125;1117;"Yes";"Yes";"Yes";"Yes";"14gA"
1099;1117;"Yes";"Yes";"Yes";"No";"14gA"
2000;1117;"Yes";"No";"Yes";"No";"14gA"
2238;1117;"Yes";"No";"Yes";"No";"14gA"
1795;1117;"Yes";"Yes";"Yes";"Yes";"14gA"
1978;1117;"Yes";"Yes";"Yes";"No";"14gA"
1783;1117;"Yes";"Yes";"Yes";"Yes";"14gA"
1103;1123;"Yes";"No";"No";"No";"14gD"
1111;1123;"Yes";"No";"Yes";"No";"14gD"
2109;1123;"Yes";"No";"Yes";"No";"14gD"
1099;1125;"Yes";"No";"No";"No";"14gA"
1117;1125;"Yes";"No";"Yes";"Yes";"14gA"
1783;1125;"Yes";"Yes";"Yes";"Yes";"14gA"
1795;1125;"Yes";"Yes";"Yes";"No";"14gA"
1978;1125;"Yes";"Yes";"No";"No";"14gA"
2238;1125;"Yes";"No";"Yes";"No";"14gA"
1109;1125;"Yes";"Yes";"Yes";"No";"14gA"
1087;1133;"Yes";"No";"Yes";"No";"14gC"
1745;1133;"Yes";"No";"Yes";"No";"14gC"
1268;1157;"Yes";"No";"Yes";"No";"14gB"
1631;1157;"Yes";"No";"Yes";"No";"14gB"
2121;1168;"Yes";"No";"Yes";"No";"14gB"
1994;1168;"Yes";"No";"No";"No";"14gB"
1952;1204;"Yes";"No";"Yes";"No";"15wA"
1214;1204;"Yes";"No";"Yes";"No";"15wA"
1334;1214;"Yes";"No";"Yes";"No";"15wB"
1952;1214;"Yes";"No";"No";"No";"15wB"
2879;1214;"Yes";"No";"No";"Yes";"15wB"
1224;1216;"Yes";"No";"Yes";"No";"16gA"
1655;1216;"Yes";"No";"Yes";"No";"16gA"
2550;1222;"Yes";"No";"Yes";"No";"16gF"
2603;1222;"Yes";"No";"Yes";"No";"16gF"
2641;1222;"Yes";"Yes";"Yes";"Yes";"16gF"
1216;1224;"Yes";"No";"Yes";"No";"16gA"
1452;1232;"Yes";"No";"Yes";"No";"16gE"
2697;1232;"Yes";"No";"Yes";"No";"16gE"
2228;1236;"Yes";"Yes";"Yes";"No";"16gA"
1252;1236;"Yes";"Yes";"Yes";"No";"16gA"
2907;1236;"Yes";"Yes";"No";"No";"16gA"
2228;1240;"Yes";"No";"Yes";"No";"16gF"
1222;1248;"Yes";"No";"No";"No";"16gG"
2639;1248;"Yes";"No";"No";"No";"16gG"
2955;1248;"Yes";"Yes";"Yes";"Yes";"16gG"
2603;1248;"Yes";"Yes";"No";"Yes";"16gG"
2595;1248;"Yes";"No";"Yes";"No";"16gG"
2646;1248;"Yes";"Yes";"Yes";"No";"16gG"
2641;1248;"Yes";"Yes";"Yes";"Yes";"16gG"
1236;1252;"Yes";"No";"Yes";"Yes";"16gC"
2228;1252;"Yes";"Yes";"Yes";"Yes";"16gC"
2727;1252;"Yes";"No";"Yes";"No";"16gC"
1157;1268;"Yes";"No";"Yes";"No";"14gC"
2032;1268;"Yes";"No";"No";"No";"14gC"
1629;1268;"Yes";"No";"Yes";"No";"14gC"
2158;1324;"Yes";"Yes";"Yes";"No";"14wB"
2125;1324;"Yes";"No";"Yes";"No";"14wB"
1107;1324;"Yes";"No";"Yes";"No";"14wB"
2164;1324;"Yes";"Yes";"Yes";"No";"14wB"
1107;1326;"Yes";"Yes";"Yes";"No";"14wB"
2186;1326;"Yes";"Yes";"No";"No";"14wB"
2174;1326;"Yes";"Yes";"No";"Yes";"14wB"
1952;1334;"Yes";"Yes";"No";"No";"15wB"
1214;1334;"Yes";"Yes";"Yes";"No";"15wB"
1880;1340;"Yes";"No";"Yes";"Yes";"15gC"
1854;1340;"Yes";"No";"Yes";"No";"15gC"
1480;1340;"Yes";"Yes";"No";"Yes";"15gC"
1858;1340;"Yes";"No";"Yes";"No";"15gC"
1486;1346;"Yes";"No";"No";"No";"15wB"
1378;1346;"Yes";"Yes";"Yes";"No";"15wB"
1964;1348;"Yes";"Yes";"No";"Yes";"15wB"
1204;1350;"Yes";"No";"Yes";"No";"15wA"
1478;1358;"Yes";"No";"No";"No";"15gF"
1476;1358;"Yes";"No";"No";"No";"15gF"
1480;1358;"Yes";"No";"No";"Yes";"15gF"
1412;1360;"Yes";"No";"No";"No";"15gB"
2220;1360;"Yes";"Yes";"Yes";"No";"15gB"
1916;1360;"Yes";"Yes";"Yes";"No";"15gB"
1416;1360;"Yes";"Yes";"Yes";"No";"15gB"
2119;1360;"Yes";"No";"No";"Yes";"15gB"
1643;1360;"Yes";"Yes";"Yes";"No";"15gB"
