"sender";"receiver"
"22";"20"
"22";"7"
"22";"5"
"22";"23"
"22";"1"
"23";"2"
"23";"8"
"23";"11"
"6";"15"
"15";"6"
"15";"13"
"10";"20"
"10";"25"
"10";"8"
"20";"2"
"20";"10"
"20";"9"
"20";"8"
"20";"4"
"20";"11"
"2";"20"
"2";"11"
"2";"9"
"2";"4"
"2";"8"
"4";"9"
"4";"18"
"4";"11"
"1";"25"
"1";"22"
"1";"12"
"1";"7"
"5";"12"
"25";"10"
"25";"15"
"25";"12"
"24";"10"
"24";"11"
"24";"15"
"24";"6"
"7";"12"
"3";"19"
"3";"18"
"3";"9"
"13";"16"
"18";"3"
"18";"4"
"18";"19"
"18";"9"
"9";"18"
"9";"4"
"11";"2"
"11";"17"
"11";"4"
"11";"8"
"11";"23"
